cut	BPU_1	BPU_3	DE_18	DE_3	EA_41	EA_44	EA_48	EA_200	D_98	D_99	IP_43	IP_43a	BPU_20	BPU_21	BPU_22	BPU_23	BPU_28a	BPU_28b	BPU_29	BPU_7	BPU_8	BPU_3	BPU_4	BPU_1	BPU_25	BPU_26	BPU_26*	BPU_26b	DE_36	EA_93	DE_25	DE_33	DE_102	DE_105	DE_28	DE_31	DE_16	DE_29	EA_16	EA_10	EA_90	EA_8	EA_9	EA_34	EA_35	EA_22	EA_22a	EA_23	IP_33a	IP_33b	IP_33c	BPU_24	IS_91	IS_40	IS_31	IS_32	IS_33	IS_34	IS_36	IS_37	IS_39	IS_39a	IS_58	IS_20	DE_48	EA_31	IS_5	EA_48	IG_1	IG_66	DE_3	DE_99	DE_100	DE_101	DE_18	DE_98	IP_6	IP_34	IP_34a	IP_48	IP_43	IP_43a	IP_47	IP_47a	IG_22	IG_92	IG_91	IG_90
8301	653.02	658.05				0							268.58	118037	1167.59	131137	78.41	87.11	5.34	769.61	13.37	658.05	0.93	653.02	249.23	S/I	S/I	S/I		4.53	18.28	S/I	S/I	S/I	9.78	489.76	S/I	S/I		S/I	S/I			1.13	S/R	704.30	852.07	S/I				419.92	5.47	57.10	13.73	2	6.76	0.91	19.58	19.37	S/I	S/I	0.37		7.57		0.00	Comuna no costera	34.41	NO	44.93						0.09	SI	NO	SI	Sin ZT	Sin ZT				S/I		30.45
8306	563.86	575.83				0							241.55	17142	1727.49	21836	75.00	95.53	5.16	924.90	S/I	575.83	0.98	563.86	S/I	S/I	S/I	S/I		S/I	9.50	S/I	S/I	S/I	7.19	359.53	S/I	S/I		S/I	S/I			0.69	0	483.00	282.28	0.44				355.28	24.06	56.64	19.65	318	7.65	0.75	18.50	21.70	S/I	S/I	0.17		8.3		0.04	Comuna no costera	40.59	SI	59.47						1.71	NO	NO	SI	Sin ZT	Sin ZT				SI	1775.4	49.54
9101	767.24	841.97				0							249.80	221256	871.92	230952	84.74	88.45	9.36	1202.05	10.72	841.97	0.94	767.24	234.37	11.26	S/I	S/I		6.07	34.76	1.13	36.8	62.4	3.35	414.10	45	50		21.32	2.82			1.02	6.27	733.28	706.78	0.01				695.22	6.84	45.16	12.60	5	6.29	1.84	14.44	18.97	53.84	S/I	0.19		14.98		0.00	Comuna no costera	6.55	SI	37.93						0.06	NO	NO	SI	Sin ZT	Sin ZT				SI	1140	26.65
9112	383.11	721.43				0							242.14	38429	1479.23	40324	84.78	88.96	6.61	686.87	26.47	721.43	0.69	383.11	207.02	4.94	S/I	S/I		11.84	23.89	1.25	31.3	68.2	8.74	400.91	50	50		29.09	4.44			0.60	0.62	443.39	349.97	0.01				153.06	20.71	47.11	18.25	619	7.26	1.02	25.08	44.71	75.00	13.90	0.10		S/I		0.01	Comuna no costera	2.43	NO	64.04						0	NO	NO	NO	Sin ZT	Sin ZT				NO	3016.7	29.84
9120	425.98	568.6				7.02							405.63	22595	1857.45	29367	62.69	81.48	12.61	791.25	31.63	568.60	1.24	425.98	238.40	S/I	S/I	S/I		3.63	8.85	S/I	S/I	S/I	10.34	592.85	S/I	S/I		S/I	S/I			0.81	S/R	777.99	727.14	0.19				181.18	21.83	26.90	21.40	814	8.47	1.17	16.38	22.97	S/I	S/I	0.22		14.07		0.01	Comuna no costera	28.05	SI	42.32						0	NO	NO	NO	Sin ZT	Sin ZT				S/I		32.33
9201	437.27	769.48				0							342.34	36405	1922.12	42023	74.90	86.45	6.04	984.42	32.92	769.48	0.96	437.27	S/I	S/I	S/I	S/I		4.55	4.42	S/I	S/I	S/I	16.23	458.06	S/I	S/I		S/I	S/I			1.28	S/R	683.69	417.24	0.01				334.90	22.50	31.15	20.24	819	6.46	1.22	22.22	16.82	S/I	S/I	2.49		S/I		0.02	Comuna no costera	4.78	NO	67.3						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		39.88
10101	577.38	644.19				99.02	S/I						269.90	173650	2242.10	154550	79.43	70.69	7.92	1271.79	10.98	644.19	0.90	577.38	358.11	4.29	S/I	S/I		2.39	20.05	1.00	33.3	52.9	11.06	330.61	60	75		S/I	S/I			0.97	0.04	735.47	917.53	S/I				504.86	12.46	59.38	18.63	6	6.43	1.10	11.98	17.84	47.82	48.75	0.09		16.49		0.00	S/I	20.44	SI	35.39						0	NO	NO	SI	0	0				SI	841	25.75
10109	728.87	709.74				100							211.65	28490	1438.51	28267	88.71	88.01	10.80	1257.48	16.81	709.74	0.80	728.87	662.56	1.12	S/I	S/I		S/I	8.75	S/I	S/I	S/I	10.62	422.84	S/I	S/I		S/I	S/I			0.95	S/R	1030.61	1300.26	0.04				548.80	10.59	43.81	16.40	914	6.03	0.97	14.32	15.14	S/I	S/I	0.21		10.15		0.00	Comuna no costera	23.27	NO	14.33						0.17	S/ZCH	S/ZCH	NO	0	0				S/I		42.90
10201	695.13	735.87				0	S/I						459.62	21988	3445.35	15992	65.80	47.86	9.17	819.93	16.76	735.87	1.22	695.13	517.88	0.57	S/I	S/I		S/I	3.33	S/I	S/I	S/I	12.82	348.25	S/I	S/I		S/I	S/I			1.61	S/R	804.49	631.50	0.01				525.11	11.06	45.22	18.75	1	5.37	0.89	13.92	21.33	S/I	S/I	0.39		10.34		0.12	S/I	39.28	SI	64.58						0	S/ZCH	S/ZCH	SI	0	0				S/I		35.12
10301	680.16	577.18				0							203.42	133116	1091.30	147365	90.15	99.80	15.37	1144.25	20.72	577.18	0.85	680.16	295.19	5.68	S/I	S/I		3.04	25.33	1.25	31.3	53.2	13.43	505.16	50	55		S/I	S/I			1.29	7.01	787.44	745.91	0.05				621.34	11.99	74.14	19.66	4	7.77	0.89	15.80	20.27	S/I	S/I	0.49		10.39		0.00	Comuna no costera	27.99	NO	33.06						0	NO	NO	SI	0	0				SI	1115.4	27.01
11101	530.29	805.33				0							223.62	43358	1118.82	49667	87.30	100.00	7.06	1063.09	S/I	805.33	1.00	530.29	1966.32	S/I	S/I	S/I		S/I	20.52	S/I	S/I	S/I	0.00	486.67	S/I	S/I		S/I	S/I			1.31	S/R	763.34	543.60	S/I				556.18	12.22	41.74	15.04	690	7.91	0.46	6.55	13.47	63.63	28.77	0.16		12.84		0.01	Comuna no costera	16.02	NO	52.65						8.5	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		28.84
12101	674.07	798.4				0	0.27						302.26	94424	833.51	122306	76.52	99.11	11.12	1058.20	10.53	798.40	0.80	674.07	298.71	S/I	S/I	S/I		3.47	28.11	S/I	S/I	S/I	4.34	499.10	S/I	S/I		S/I	S/I			1.22	1.09	759.96	963.27	S/I				676.73	7.02	53.43	11.32	3	5.14	1.14	4.42	7.62	64.00	31.04	0.05		13.56		0.00	0.27	9.21	NO	26.67						0.33	NO	NO	SI	0	0				S/I	580.2	27.51
13101	600.7	376.29				0							355.57	272873	850.96	402847	67.74	100.00	4.64	1136.51	1.79	376.29	1.24	600.70	158.13	16.46	16.43	1.27		11.37	79.46	75.00	42.8	78	2.99	170.99	60	85		55.97	40.87			1.23	0.02	1090.97	1853.48	0.01				761.80	4.34	38.57	9.48	14	10.62	3.37	5.93	11.64	49.01	42.42	0.07		0.77		0.03	Comuna no costera	26.66	SI	2.54						3.87	NO	NO	SI	Sin ZT	Sin ZT				SI	251.5	22.31
13102	533.76	722.04				0							241.34	69067	804.34	80710	85.57	100.00	14.58	1158.11	7.93	722.04	0.72	533.76	251.88	5.86	5.79	0.22		3.11	82.04	1.15	31	68.6	13.88	427.99	75	90		42.79	38.53			1.38	0	710.41	1426.67	0.24				547.74	4.58	41.53	9.54	2	8.70	2.35	8.11	19.66	70.00	29.90	0.08		23.54		0.25	Comuna no costera	52.38	NO	17.99						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	345.3	32.08
13103	421.25	360.13				0							207.37	124231	697.24	132397	93.83	100.00	5.94	745.28	8.67	360.13	0.72	421.25	189.50	7.69	7.67	0.16		1.20	58.60	1.55	27.9	83.8	2.85	69.82	85	110		14.85	13.11			1.33	S/R	627.73	80.18	S/I				234.87	10.07	28.76	17.49	5	12.84	4.48	12.07	35.56	21.42	24.61	0.08		6.44		0.01	Comuna no costera	1.15	NO	78.23						0	SI	NO	NO	Sin ZT	Sin ZT				S/I		31.38
13104	545.7	365.41				0							198.72	118977	850.04	126800	93.83	100.00	3.30	692.77	11.89	365.41	0.97	545.70	189.94	7.94	7.93	0.2		1.02	80.36	1.27	40.8	78.2	3.70	101.41	75	80		41.31	24.10			1.33	S/R	695.72	407.81	S/I				543.92	14.60	16.28	16.67	4	10.44	4.46	10.17	21.62	72.50	18.76	4.62		3.01		0.00	Comuna no costera	21.29	SI	42.49						0	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		25.87
13105	435.52	379.76				0							260.57	129659	1390.02	160767	79.83	98.99	2.03	708.32	19.83	379.76	1.03	435.52	210.66	8.23	8.23	0.48		2.09	56.42	2.00	21.4	78.1	3.51	239.14	90	105		16.49	10.89			1.31	S/R	624.37	166.60	S/I				472.41	11.78	19.81	12.95	4	10.22	2.61	14.54	27.04	54.16	33.67	0.59		3.05		0.08	Comuna no costera	52.58	NO	70.29						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		23.42
13106	614.05	478.78				0							271.98	109213	904.07	140746	77.60	100.00	3.79	1027.82	5.12	478.78	1.07	614.05	212.65	9.16	9.1	0.72		2.79	98.35	1.25	30.6	71.8	2.41	162.48	75	100		34.35	30.44			1.20	1.68	756.08	775.68	0.01				670.57	10.49	21.42	13.14	6	11.87	4.20	6.16	14.49	61.53	39.22	0.87		8.1		0.05	Comuna no costera	6.79	NO	14.39						0	NO	NO	NO	0	0				NO	631.1	26.24
13107	1345.66	1325.37				0							264.33	84095	2063.77	76953	85.38	78.12	10.78	1279.70	7.31	1325.37	0.35	1345.66	371.66	4.11	4.08	0.03		0.62	31.95	1.17	22.2	63.5	0.94	201.49	70	90		24.15	12.37			1.37	0	842.70	1397.71	0.15				657.93	15.91	44.94	12.76	2	8.08	2.64	6.11	23.83	13.04	65.96	1.39		12.38		0.18	Comuna no costera	35.24	NO	7.98						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	935.2	38.37
13108	756.64	360.57				0							325.99	70732	1477.51	100059	70.69	100.00	1.55	812.78	5.60	360.57	1.16	756.64	202.14	6.84	6.83	0.58		0.33	65.62	0.80	34	76.7	0.00	164.57	60	90		53.05	29.83			1.16	S/R	775.39	857.35	0.03				763.63	12.56	19.79	15.16	4	13.56	4.37	9.85	21.34	84.00	23.05	1.71		2.11		0.00	Comuna no costera	27.45	SI	17.77						0	S/ZCH	S/ZCH	SI	0	0				S/I		29.76
13109	702.56	418.17				0							379.62	49767	1504.05	89889	55.36	100.00	1.78	1043.99	11.57	418.17	1.33	702.56	188.30	5.15	5.13	0.8		0.89	64.21	1.33	24.5	73.4	3.09	283.14	80	90		42.41	45.33			1.28	S/R	836.60	442.61	0.01				723.10	5.75	20.95	11.12	2	6.35	2.13	3.63	20.05	93.75	16.99	1.76		0.83		0.16	Comuna no costera	64.80	NO	18.4						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		25.61
13110	761.23	535.13				0							206.06	334668	1691.64	341674	91.35	93.26	3.76	1190.76	6.64	535.13	0.90	761.23	248.67	5.46	5.43	0.69		1.73	60.20	1.50	32	62.5	3.08	117.88	90	90		30.31	26.96			1.37	0.54	800.22	318.62	0.01				786.89	4.68	52.79	7.50	6	5.59	2.12	3.11	17.01	54.05	35.77	0.22		8.1		0.01	Comuna no costera	59.71	SI	42.1						0	SI	NO	SI	Sin ZT	Sin ZT				NO	67.3	28.68
13111	405.04	399.61				0							218.95	101219	1225.67	116312	87.02	100.00	7.29	667.58	21.87	399.61	0.91	405.04	190.20	5.81	5.8	0.44		1.86	96.93	1.80	21.3	68.6	4.09	204.26	90	100		29.26	32.87			1.52	0.65	671.36	267.33	S/I				424.98	7.56	18.13	18.60	3	10.54	3.04	7.22	24.55	52.94	19.62	1.17		1.27		0.16	Comuna no costera	78.32	SI	68.57						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		21.16
13112	394.24	437.1				0							196.25	168372	1534.94	174593	95.61	99.14	3.47	838.03	11.81	437.10	0.82	394.24	208.49	8.67	8.67	0.14		5.27	33.38	1.31	38.4	77	7.44	166.26	105	120		18.71	12.53			1.50	4.14	567.02	285.61	0				153.93	8.25	11.57	17.34	5	13.15	3.04	13.86	42.40	36.84	28.78	0.63		1.85		0.08	Comuna no costera	83.44	NO	79.48						0	NO	NO	NO	Sin ZT	Sin ZT				NO	144.6	21.28
13113	989.27	801.67				0							442.02	48966	947.26	92670	52.83	99.99	13.99	1212.69	2.16	801.67	0.57	989.27	291.10	7.73	7.73	0.08		4.29	47.42	1.25	23.1	45.9	5.11	323.08	75	90		38.65	20.85			1.34	0	1137.47	776.75	0.09				799.26	6.40	33.53	4.92	1	3.21	2.03	2.34	9.83	13.33	43.20	4.03		2.5		0.00	Comuna no costera	75.23	SI	6.04						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				SI		37.10
13114	2310.43	1409.27				0							330.57	217537	932.81	294480	73.87	100.00	4.87	2149.59	4.67	1409.27	0.22	2310.43	314.24	4.92	4.92	0.07		3.47	53.94	1.00	23.6	48.6	1.90	138.97	60	80		44.72	20.88			1.05	0	1308.94	1982.50	0.05				906.02	5.76	77.15	0.88	2	1.71	1.30	0.56	4.83	4.00	41.67	0.44		6.83		0.01	Comuna no costera	69.61	SI	1.32						0	S/ZCH	S/ZCH	SI	0	50				NO		36.31
13115	2964.67	3243.4				0							475.15	66190	1545.93	96188	64.20	93.30	15.21	2902.52	11.45	3243.40	0.33	2964.67	633.15	2.82	2.82	0.14		S/I	16.34	1.00	11.6	41.1	1.75	129.46	60	90		28.86	10.18			1.45	0	1340.76	1122.95	0.22				769.06	7.99	49.90	6.01	1	3.39	1.35	2.46	17.28	30.76	64.27	1.67		20.25		0.00	Comuna no costera	65.29	SI	1.88						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	552.6	42.43
13116	389.24	344.22				0							213.77	90826	825.10	98651	92.07	100.00	4.36	796.56	15.98	344.22	0.67	389.24	169.61	7.56	7.42	0.62		1.50	66.92	1.45	19.9	79.6	3.87	51.23	80	130		50.52	48.81			1.56	0	625.04	235.72	S/I				305.85	9.74	10.96	14.85	4	12.07	4.83	9.50	28.22	40.00	13.07	0.55		S/I		0.08	Comuna no costera	45.56	NO	61.62						0	SI	NO	NO	0	0				NO	0	23.99
13117	438.75	343.03				0							197.15	91501	597.68	95901	95.41	100.00	3.20	722.95	27.95	343.03	0.76	438.75	172.91	8.84	8.82	0.19		1.14	92.50	1.25	30.6	75.4	1.96	199.40	75	90		21.60	18.00			1.17	S/R	628.75	186.26	0.14				368.50	8.42	22.86	13.18	3	11.34	3.68	5.67	20.33	45.83	22.28	1.40		2.82		0.11	Comuna no costera	64.20	SI	66.08						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		24.96
13118	552.96	520.77				0							238.16	100399	833.95	116249	86.37	100.00	4.14	1112.67	10.64	520.77	0.67	552.96	193.27	6.24	6.18	0.34		2.28	87.30	1.33	29.4	62.9	2.37	219.24	80	90		40.81	43.03			1.27	3.47	812.55	1031.81	0.09				696.33	3.79	19.27	6.70	3	5.97	2.49	5.32	17.55	65.00	30.48	0.31		2.68		0.20	Comuna no costera	43.77	SI	15.22						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO		31.04
13119	854.81	524.45				0							170.11	502507	814.08	515212	97.12	99.58	5.50	1183.38	4.95	524.45	0.89	854.81	240.49	5.89	5.86	0.38		1.96	69.52	1.50	31.8	71	5.75	213.93	90	110		26.60	18.37			1.30	0.81	687.99	659.33	0.06				781.75	4.62	53.33	6.81	7	4.80	1.69	5.24	12.50	88.88	21.75	0.18		6.06		0.01	Comuna no costera	29.10	SI	41.45						0	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				S/I		27.66
13120	899.22	541.4				0							349.66	131482	1087.08	208048	63.20	100.00	2.44	1087.11	1.15	541.40	0.70	899.22	202.47	5.15	5.13	0.14		6.94	104.40	1.08	26.7	56.5	2.17	207.97	65	83		35.50	22.46			0.90	S/R	1030.73	781.49	0.09				808.97	5.86	48.36	2.06	2	2.60	1.65	2.41	10.72	27.02	40.03	0.45		2.36		0.06	Comuna no costera	0.37	SI	6.62						0	NO	NO	SI	0	0				NO	856.6	35.64
13121	412.14	363.57				0							260.62	85958	772.79	101035	85.08	100.00	5.25	675.41	26.53	363.57	0.93	412.14	205.65	5.06	4.93	0.61		2.14	97.08	1.42	20.4	69.7	7.50	99.43	85	120		47.87	37.74			1.18	0	706.55	240.60	0				611.85	8.20	7.37	12.17	3	10.00	4.18	11.02	30.98	51.85	23.18	1.03		1.09		0.16	Comuna no costera	21.13	NO	56.45						0.28	SI	NO	NO	0	0				NO	0	29.66
13122	660.29	683.77				0							219.73	217835	1008.12	239860	90.24	99.36	5.66	1050.80	2.24	683.77	0.56	660.29	319.67	6.52	6.5	0.22		3.09	52.72	1.33	24.4	64.6	5.04	146.29	80	90		28.29	24.00			1.34	S/R	757.09	354.98	0.17				551.43	6.53	50.86	12.55	6	8.47	2.84	4.75	20.73	58.06	35.20	1.91		2.69		0.02	Comuna no costera	63.05	NO	26.17						0	SI	NO	NO	0	0				S/I		27.31
13123	1785.42	695.31				0							345.05	91379	852.25	141986	64.36	100.00	14.94	1047.78	0.85	695.31	0.76	1785.42	219.79	12.06	12.03	0.32		9.49	91.24	0.75	30.2	57.8	2.65	542.23	45	65		34.73	17.12			1.40	0	1573.31	2414.14	0.1				995.57	5.30	65.53	1.27	2	2.23	2.34	0.74	4.62	0.00	24.31	0.92		6.76		0.04	Comuna no costera	10.36	SI	1.94						0	S/ZCH	S/ZCH	SI	0	20				S/I		37.72
13124	547.02	370.15				0							185.01	210624	1180.17	216475	94.55	97.18	4.71	640.90	12.15	370.15	0.72	547.02	247.58	7.28	7.23	0.14		0.59	36.85	1.33	25.4	73.4	9.00	220.84	80	105		24.29	19.41			0.99	S/R	682.73	1199.09	0.21				635.78	8.97	40.11	9.29	5	8.08	2.64	7.77	20.52	37.50	35.95	0.47		10.52		0.01	Comuna no costera	12.28	NO	29.6						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		24.10
13125	644.7	612.78				0							206.69	197464	1037.81	209374	94.18	99.86	4.03	880.77	7.25	612.78	0.83	644.70	303.19	6.22	6.22	0.05		2.16	24.25	1.50	32.1	71.9	2.15	193.25	105	120		29.47	16.85			1.22	1.08	645.47	1515.86	0.06				661.94	12.44	32.17	7.25	3	7.08	1.71	7.82	18.54	51.72	36.99	0.66		9.27		0.09	Comuna no costera	13.98	NO	16.15						0	SI	NO	NO	Sin ZT	Sin ZT				NO	837.1	29.60
13126	519.44	426.47				0							344.91	69389	1297.38	109784	63.21	100.00	3.63	778.23	10.20	426.47	1.22	519.44	198.06	7.12	7.06	0.44		6.29	71.39	1.25	28.7	69.9	5.66	330.78	75	85		28.26	20.61			1.37	3.72	809.98	587.41	0.1				803.74	11.11	13.40	14.70	3	9.07	3.63	5.94	13.46	62.85	24.37	1.05		2.61		0.24	Comuna no costera	60.41	NO	24.11						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	404.4	24.68
13127	597.64	434.4				0							260.17	130141	1444.87	156977	82.59	99.62	18.58	817.98	3.05	434.40	0.91	597.64	201.38	11.15	11.11	0.12		4.65	64.10	1.00	29.3	76.8	5.76	181.02	60	90		40.01	23.91			1.30	1.67	781.97	547.41	0.02				535.64	11.86	22.39	18.21	6	13.17	4.40	13.86	26.20	45.71	29.90	1.46		3.31		0.02	Comuna no costera	20.96	SI	14.16						2.71	S/ZCH	S/ZCH	SI	0	0				NO		29.18
13128	535.76	426.29				0							216.00	133740	1179.75	146912	90.99	99.95	4.58	1009.62	10.87	426.29	0.81	535.76	251.63	7.6	7.43	0.27		0.58	50.38	1.50	29	75.6	7.03	162.23	90	110		36.95	24.56			1.38	S/R	619.40	977.87	0				420.65	6.97	27.91	13.88	4	10.57	2.84	8.54	26.25	57.14	25.22	1.36		4.05		0.32	Comuna no costera	41.05	NO	25.33						6.91	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		27.35
13129	642.88	483.69				0							252.60	79242	682.74	94325	84.01	100.00	4.90	625.21	19.51	483.69	0.64	642.88	190.01	6.58	6.52	0.52		6.50	77.67	1.25	24.2	74	4.97	244.62	75	90		27.19	21.93			1.66	0.1	725.69	751.71	0.01				526.57	7.27	51.45	11.18	3	9.56	4.63	6.60	23.70	38.70	33.51	1.85		1.32		0.05	Comuna no costera	40.77	SI	18.63						0	NO	NO	NO	Sin ZT	Sin ZT				NO	144.7	23.64
13130	648.5	397.05				0							429.94	50862	1299.88	107828	47.17	100.00	1.97	911.03	9.46	397.05	1.12	648.50	211.18	6.72	6.69	0.95		0.61	69.25	1.25	31.4	69.2	1.66	73.23	75	90		37.15	28.00			1.12	1.5	944.62	796.34	0				922.63	4.80	21.59	5.72	2	5.23	2.28	3.46	11.63	50.00	33.61	1.67		2.6		0.09	Comuna no costera	2.37	NO	9.26						0	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				NO		27.38
13131	428.26	374.21				0							224.27	70193	1178.96	82602	84.98	100.00	4.63	662.91	8.72	374.21	0.88	428.26	171.08	11.44	11.42	0.38		1.07	68.89	1.50	25.2	76	0.00	259.89	90	100		28.87	32.59			1.60	S/R	666.44	166.27	S/I				461.66	5.72	42.70	19.23	3	12.67	4.60	9.41	29.49	26.08	32.79	1.82		0.63		0.31	Comuna no costera	0.06	NO	67.58						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		28.38
13132	2440.73	1607.87				0							444.36	47736	1017.44	84947	55.96	99.59	18.67	2624.38	1.41	1607.87	0.20	2440.73	392.09	3.97	3.97	0.38		2.24	44.84	0.77	15.4	38.2	4.39	327.86	50	81		54.72	29.33			1.30	0	1528.80	2135.70	0.14				933.62	6.99	35.18	0.79	301	0.79	0.81	0.03	2.84	0.00	23.32	1.03		7.75		0.03	Comuna no costera	93.36	SI	1.84						0	NO	NO	NO	Sin ZT	Sin ZT				NO	0	45.03
13201	926.42	654.22				0							187.97	534876	1312.32	558067	94.59	98.70	4.41	1383.59	6.61	654.22	0.80	926.42	270.66	5.63	5.63	0.62		1.87	53.48	1.58	35	74.1	2.44	186.34	95	105		23.72	16.44			1.60	2.32	645.18	209.83	0.04				652.72	6.33	51.76	9.34	8	6.78	1.51	8.02	27.11	49.42	35.59	0.25		5.62		0.01	Comuna no costera	24.16	SI	66.71						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	0	22.77
13202	2493.09	1693.75				0							692.96	3792	1348.29	629	32.93	5.46	2.41	2084.45	13.90	1693.75	0.70	2493.09	920.20	S/I	S/I	S/I		S/I	7.20	0.93	34.5	59.8	0.00	204.87	70	95		S/I	S/I			1.02	1.39	860.09	852.07	0.11				107.67	14.13	28.91	28.86	206	7.29	1.12	3.63	11.32	80.00	11.10	3.25		1.09		0.03	Comuna no costera	99.61	NO	11.88						0	SI	SI	NO	Sin ZT	Sin ZT				NO	0	39.41
13203	1233.99	1312.63				1.81							708.93	4401	1819.16	S/I	39.60	S/I	3.96	2065.75	S/I	1312.63	0.85	1233.99	1353.45	S/I	S/I	0.16		S/I	0.60	S/I	S/I	S/I	16.76	715.20	S/I	S/I		S/I	S/I			1.32	S/R	866.28	669.26	0.03				246.88	35.18	8.37	28.96	234	6.44	1.29	5.68	21.20	66.66	35.83	2.62		13.95		0.13	Comuna no costera	29.86	NO	34.37						0	S/ZCH	S/ZCH	NO	0	0				S/I		42.79
13301	446.02	543.03				0							263.33	88632	904.18	95754	75.21	81.26	9.46	856.27	6.33	543.03	0.63	446.02	S/I	S/I	S/I	0.06		0.20	10.28	1.25	26.8	71	9.77	344.37	75	90		S/I	S/I			1.22	0.67	941.05	1202.42	0.16				412.14	29.60	37.66	12.23	2	8.30	1.34	12.56	32.09	30.76	46.48	3.63		39.53		0.00	Comuna no costera	34.17	SI	10.47						0	S/ZCH	S/ZCH	SI	0	0				NO		32.38
13302	2284.89	679.68				0							302.88	56765	713.58	56326	70.36	69.81	6.88	2343.19	10.91	679.68	0.75	2284.89	775.78	S/I	S/I	0.06		2.28	8.45	1.36	21.2	70.8	6.95	99.95	95	120		S/I	S/I			0.96	4.26	740.26	1869.76	0.05				407.80	20.83	43.93	16.68	2	8.68	1.16	9.81	26.75	26.66	51.55	0.16		10.26		0.03	Comuna no costera	1.83	NO	14.62						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				SI	1445	37.05
13303	559.21	717.92				0							519.54	6774	85.32	1963	51.88	15.03	6.03	322.08	18.38	717.92	0.97	559.21	S/I	S/I	S/I	S/I		1.24	3.30	S/I	S/I	S/I	38.72	290.40	S/I	S/I		S/I	S/I			2.32	0	660.62	1467.74	S/I				241.25	10.33	49.05	23.20	251	6.85	1.22	7.89	27.19	S/I	S/I	0.33		13.79		0.03	Comuna no costera	35.24	NO	34.67						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				NO	0	45.35
13401	773.7	524.71				0							220.60	263020	1562.91	264984	88.99	89.66	4.07	1057.35	11.14	524.71	1.07	773.70	303.97	4.38	4.38	1.21		1.38	23.24	1.80	22.6	68.6	6.18	161.71	90	120		22.30	15.22			1.48	2.1	623.12	860.06	0.21				486.47	8.28	31.39	12.73	6	9.44	2.14	9.19	21.99	62.29	33.85	0.31		8.3		0.02	Comuna no costera	34.24	NO	36.6						0	S/ZCH	S/ZCH	SI	Sin ZT	Sin ZT				NO	368.2	24.22
13402	1137.03	857.7				0							303.81	68231	1476.69	56318	82.94	68.46	7.34	1238.31	16.05	857.70	0.70	1137.03	S/I	S/I	S/I	0.04		5.14	4.89	1.60	28.6	71.1	6.71	345.03	80	90		S/I	S/I			1.47	S/R	692.58	851.87	0.02				462.88	10.54	42.65	16.53	2	7.55	1.60	10.27	18.88	S/I	S/I	0.95		3.34		0.01	Comuna no costera	23.81	NO	20.17						0	SI	NO	NO	Sin ZT	Sin ZT				S/I		42.05
13403	1160.24	722.46				0							489.65	7368	S/I	S/I	64.14	S/I	2.61	1097.88	S/I	722.46	0.58	1160.24	S/I	S/I	S/I	0.19		16.32	9.65	1.25	21.7	74.9	7.32	541.95	75	120		S/I	S/I			1.59	S/R	753.39	1252.12	0.05				318.31	21.12	15.66	22.44	294	9.38	1.49	2.76	29.41	S/I	S/I	0.34		2.81		0.12	Comuna no costera	96.47	NO	15.89						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		48.04
13404	742.68	584.78				0							327.53	31400	S/I	S/I	67.74	S/I	3.74	1044.38	28.48	584.78	1.00	742.68	S/I	S/I	S/I	S/I		0.62	5.28	S/I	S/I	S/I	13.99	301.34	S/I	S/I		S/I	S/I			1.08	0	707.60	1388.31	0.43				223.79	22.31	57.66	20.18	1	9.26	1.59	8.08	26.95	S/I	S/I	4.96		1.24		0.03	Comuna no costera	15.39	SI	30						0	S/ZCH	S/ZCH	NO	0	0				NO	1185.9	39.29
